product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
1443526,0,가구,일반소파,5295,369,4374,4275,1508703000,4923,4342,462,4275,92,0.06514830508474577,0.9038301415487094,0.02152046783625731,0.03677810068737451,1.0,0.8777241548376106
3326382,0,가구,일반소파,5556,212,3819,3754,1911982000,5334,3565,1697,3754,60,0.036754507628294034,0.677499049790954,0.015982951518380393,0.00879365075676061,0.7002382414408964,1.0
3043031,0,가구,일반소파,4435,524,2725,2644,1761823000,3927,1805,2032,2644,78,0.10566646501310747,0.47041959864477456,0.029500756429652043,0.0771073699398625,0.42597410939017605,0.7032356153154153
3093887,0,가구,일반소파,2766,310,2445,2295,625578000,0,0,0,2295,127,0.10078023407022106,,0.05533769063180828,0.20767716875140216,,0.7242778171947661
3603707,0,가구,일반소파,2400,96,2390,2348,673230000,2297,1592,616,2348,42,0.038461538461538464,0.7210144927536232,0.01788756388415673,0.018418819573912015,0.7578717976865822,0.9926487945765848
971178,0,가구,일반소파,3201,129,2376,2334,835334000,3072,2304,744,2334,37,0.03873873873873874,0.7559055118110236,0.015852613538988862,0.008134973391501286,0.8040828292745884,0.9914550515337285
2052934,0,가구,일반소파,3929,241,2369,2314,791696000,3687,2249,1342,2314,52,0.057793764988009595,0.6262879420774158,0.02247191011235955,0.04158631924765149,0.6324122455216067,0.9093959524366584
1502239,0,가구,일반소파,2590,346,2156,2099,1110814500,2249,402,1753,2099,49,0.1178474114441417,0.1865429234338747,0.023344449737970462,0.04599579455457878,0.04999672725387942,0.6507792462081522
1106433,0,가구,일반소파,2077,224,2076,1972,870169000,0,0,0,1972,96,0.09734897870491091,,0.0486815415821501,0.17403958483864215,,0.7390542714680901
3417592,0,가구,일반소파,2051,177,2047,2008,555519000,1866,1203,600,2008,38,0.07944344703770198,0.6672212978369384,0.018924302788844622,0.023658094061590862,0.6866259843893222,0.8161631548799639
3064560,0,가구,일반소파,2926,303,1995,1903,1213232000,2628,1673,898,1903,87,0.09383710126974296,0.6507195643718398,0.04571728849185497,0.15905940465944662,0.6647704425618389,0.7541779188826528
200259,0,가구,일반소파,1747,107,1742,1714,532220000,1640,1320,281,1714,27,0.05771305285868392,0.8244846970643348,0.01575262543757293,0.007629672484540866,0.8949117870303612,0.9097435334125137
2121820,0,가구,일반소파,2591,181,1694,1657,1177054000,2410,1554,762,1657,35,0.0652958152958153,0.6709844559585493,0.02112251056125528,0.034766979672549644,0.691610058329448,0.8770889127303767
1992796,0,가구,일반소파,2017,181,1532,1470,836392000,0,0,0,1470,51,0.08234758871701547,,0.03469387755102041,0.10335138073137648,,0.8036566777574863
3047119,0,가구,일반소파,1937,325,1488,1464,655552000,1621,771,798,1464,24,0.14367816091954022,0.491395793499044,0.01639344262295082,0.01086811286276444,0.4537558030521507,0.5395409827061837
3603867,0,가구,일반소파,1733,73,1354,1334,402034000,1659,1203,413,1334,19,0.040420819490586936,0.744430693069307,0.01424287856071964,0.0,0.7888851301054194,0.9842112918401165
2987676,0,가구,일반소파,1802,202,1347,1297,1118913700,1597,222,1270,1297,44,0.10079840319361277,0.1487935656836461,0.03392444101773323,0.09946294828178767,0.0,0.7241995731725641
1106436,0,가구,일반소파,1347,163,1347,1269,831492000,0,0,0,1269,70,0.10794701986754966,,0.055161544523246654,0.2067869949491866,,0.6934145699728964
2592785,0,가구,일반소파,1694,77,1297,1272,284972000,1620,1264,339,1272,19,0.043478260869565216,0.7885215221459763,0.014937106918238994,0.0035083596320419027,0.847280750246276,0.9710446405944557
1656481,0,가구,일반소파,1279,81,1279,1257,599851000,1192,682,444,1257,20,0.05955882352941176,0.605683836589698,0.015910898965791568,0.008429525229259147,0.6051233615836186,0.9017948548644841
158748,0,가구,일반소파,1598,92,1098,1066,423197000,1507,830,620,1066,17,0.054437869822485205,0.5724137931034483,0.01594746716697936,0.00861432667027499,0.5610592135016115,0.9238478734334967
3467234,0,가구,식탁세트,1301,214,1301,1251,708915600,1083,34,997,1251,48,0.14125412541254126,0.03297769156159069,0.03836930455635491,0.4342901916090889,0.015229409945985792,0.2943539561210007
3467236,0,가구,식탁세트,545,82,545,526,353330900,460,9,433,526,18,0.13078149920255183,0.020361990950226245,0.034220532319391636,0.3734141474984,0.0,0.3683270529125451
3667008,0,가구,식탁세트,495,95,495,474,296019600,396,25,332,474,21,0.16101694915254236,0.0700280112044818,0.04430379746835443,0.5213685925554581,0.059955780985823916,0.15475981382278048
3264301,0,가구,식탁세트,433,41,433,419,214197900,387,84,292,419,7,0.08649789029535865,0.22340425531914893,0.016706443914081145,0.11642524634325008,0.2451083753247939,0.6811230624603747
2623488,0,가구,식탁세트,695,69,391,370,280840000,627,391,232,370,20,0.09031413612565445,0.6276083467094703,0.05405405405405406,0.6644367139416645,0.7330551013340231,0.6541671187911998
3467258,0,가구,식탁세트,340,63,340,321,166996900,276,6,264,321,17,0.15632754342431762,0.022222222222222223,0.0529595015576324,0.6483760525585268,0.002245632288550744,0.18788329754818134
3467238,0,가구,식탁세트,316,50,316,306,238750300,262,8,246,306,9,0.1366120218579235,0.031496062992125984,0.029411764705882353,0.302853814793244,0.013440818922215292,0.327143322291118
3364067,0,가구,식탁세트,284,44,284,277,169728000,239,44,190,277,6,0.13414634146341464,0.18803418803418803,0.021660649819494584,0.18911963398505913,0.20241036979234403,0.34455958549222787
3365235,0,가구,식탁세트,232,26,232,228,185328000,204,39,153,228,2,0.10077519379844961,0.203125,0.008771929824561403,0.0,0.22062768240343347,0.5802757360324537
