product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_norm,delivery_norm,score,rank,score2,rank2,score3,rank3
3603463,1,가구,식탁/테이블,239,22,237,229,36078000,0,0,0,229,8,0.0842911877394636,,0.034934497816593885,0.1492231136386717,,0.1492231136386717,13.0,0.25445617954707017,27.0,0.21937849091093736,24.0
3603645,1,가구,식탁/테이블,94,17,94,90,15105000,0,0,0,90,4,0.15315315315315314,,0.044444444444444446,0.22679144260539613,,0.22679144260539613,7.0,0.30875400982377726,20.0,0.2814331540843169,12.0
3749463,1,가구,식탁/테이블,153,48,91,79,69858000,0,0,0,79,11,0.23880597014925373,,0.13924050632911392,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3615707,1,가구,전신거울,255,16,255,250,51185000,0,0,0,250,5,0.05904059040590406,,0.02,0.28651162790697676,,0.28651162790697676,18.0,0.3505581395348837,21.0,0.32920930232558143,19.0
3615705,1,가구,전신거울,59,7,59,56,6006000,0,0,0,56,3,0.10606060606060606,,0.05357142857142857,1.0,,1.0,1.0,0.85,3.0,0.9,1.0
2237720,1,가구,서랍/수납장,8923,924,6623,6068,1849048920,0,0,0,6068,465,0.09383568599573475,,0.07663150955833882,0.6041717975378621,,0.6041717975378621,7.0,0.5729202582765034,7.0,0.5833374380302897,7.0
2840770,1,가구,서랍/수납장,1140,166,791,723,255121300,0,0,0,723,57,0.12710566615620214,,0.07883817427385892,0.6269709855140106,,0.6269709855140106,6.0,0.5888796898598074,6.0,0.6015767884112085,6.0
2846233,1,가구,서랍/수납장,1040,174,705,654,313483020,0,0,0,654,47,0.14332784184514002,,0.07186544342507645,0.5549289574658063,,0.5549289574658063,10.0,0.5384502702260644,10.0,0.543943165972645,10.0
3652511,1,가구,서랍/수납장,560,94,310,278,68558000,0,0,0,278,25,0.1437308868501529,,0.08992805755395683,0.7415512983989732,,0.7415512983989732,4.0,0.6690859088792812,4.0,0.6932410387191785,4.0
3531822,1,가구,서랍/수납장,281,42,160,145,54770000,0,0,0,145,15,0.13003095975232198,,0.10344827586206896,0.881241753644487,,0.881241753644487,3.0,0.7668692275511408,3.0,0.8049934029155896,3.0
3116516,1,가구,서랍/수납장,118,35,115,105,75700000,0,0,0,105,8,0.22875816993464052,,0.0761904761904762,0.5996150551442702,,0.5996150551442702,8.0,0.5697305386009891,8.0,0.5796920441154162,8.0
3752134,1,가구,서랍/수납장,104,20,98,87,41880000,0,0,0,87,10,0.16129032258064516,,0.11494252873563218,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3531836,1,가구,서랍/수납장,152,25,84,76,46730000,0,0,0,76,8,0.14124293785310735,,0.10526315789473684,0.8999930557006205,,0.8999930557006205,2.0,0.7799951389904344,2.0,0.8199944445604964,2.0
3640244,1,패브릭,이불/이불커버,4089,219,2427,2295,218038800,3846,3672,173,2295,114,0.05083565459610028,0.9550065019505852,0.04967320261437908,0.30929235067225563,0.8550764334735572,0.30929235067225563,17.0,0.47302757551264607,13.0,0.41844916723251596,14.0
3640123,1,패브릭,이불/이불커버,1201,88,796,742,90463500,1108,1085,13,742,46,0.0682699767261443,0.98816029143898,0.06199460916442048,0.4577318287027998,0.9676458095554433,0.4577318287027998,12.0,0.6107060229585929,10.0,0.5597146248733286,10.0
3918642,1,패브릭,이불/이불커버,994,21,690,665,36244900,964,950,9,665,23,0.020689655172413793,0.9906152241918665,0.03458646616541353,0.12753815933268764,0.9759812141224585,0.12753815933268764,28.0,0.3820710757696189,22.0,0.2972267702906418,24.0
3707436,1,패브릭,이불/이불커버,654,46,409,394,49003800,606,561,45,394,15,0.06571428571428571,0.9257425742574258,0.03807106598984772,0.16951812135923064,0.7557145767157495,0.16951812135923064,27.0,0.3453770579661863,25.0,0.28675741243053443,25.0
4037745,1,패브릭,이불/이불커버,134,0,128,125,5422400,133,127,3,125,3,0.0,0.9769230769230769,0.024,0.0,0.9294913105834234,0.0,31.0,0.278847393175027,28.0,0.1858982621166847,28.0
3508402,1,패브릭,이불/이불커버,81,11,68,66,11025000,70,67,2,66,2,0.11956521739130435,0.9710144927536232,0.030303030303030304,0.07593439307376616,0.9094294822450508,0.07593439307376616,30.0,0.3259829198251516,26.0,0.24263341090802312,27.0
3607491,1,가구,독립스프링매트리스,1726,219,1222,1117,508638400,0,0,0,1117,88,0.11259640102827763,,0.07878245299910475,0.4656314500182002,,0.4656314500182002,5.0,0.47594201501274014,5.0,0.4725051600145602,5.0
3121605,1,가구,독립스프링매트리스,1290,229,894,765,1157324500,0,0,0,765,112,0.15075707702435814,,0.14640522875816994,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
1389872,1,가구,책상,4444,446,4125,3840,516141300,0,0,0,3840,246,0.09120654396728016,,0.0640625,0.6021024514890266,,0.6021024514890266,5.0,0.5714717160423186,5.0,0.5816819611912213,5.0
2591834,1,가구,책상,3974,455,3741,3538,768615000,0,0,0,3538,188,0.10273199367803115,,0.05313736574335783,0.47896693074266544,,0.47896693074266544,9.0,0.48527685151986577,11.0,0.4831735445941324,8.0
2238147,1,가구,책상,4504,428,3570,3345,663901200,0,0,0,3345,188,0.0867802108678021,,0.056203288490284005,0.5135224780835455,,0.5135224780835455,8.0,0.5094657346584818,7.0,0.5108179824668364,7.0
2954161,1,가구,책상,3299,460,1048,946,698354200,0,0,0,946,94,0.12237297153498271,,0.09936575052854123,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3603639,1,가구,책상,158,25,153,142,28966000,0,0,0,142,10,0.1366120218579235,,0.07042253521126761,0.6737854376480754,,0.6737854376480754,4.0,0.6216498063536527,4.0,0.6390283501184604,4.0
3116503,1,가구,일반침대,541,157,255,218,345106600,0,0,0,218,32,0.22492836676217765,,0.14678899082568808,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3898584,1,가구,일반침대,172,28,77,70,90534300,0,0,0,70,7,0.14,,0.1,0.6217718268525312,,0.6217718268525312,2.0,0.5852402787967718,2.0,0.597417461482025,2.0
3528498,1,가구,일반침대,133,17,59,56,124600900,0,0,0,56,3,0.11333333333333333,,0.05357142857142857,0.24645717604723472,,0.24645717604723472,6.0,0.3225200232330643,11.0,0.2971657408377878,9.0
3395932,1,가구,선반,119,17,119,118,36250000,0,0,0,118,1,0.125,,0.00847457627118644,0.0,,0.0,21.0,0.15,21.0,0.1,21.0
3116283,1,가구,일반소파,404,108,315,271,431864000,0,0,0,271,36,0.2109375,,0.13284132841328414,0.5928996653792544,,0.5928996653792544,3.0,0.565029765765478,3.0,0.5743197323034036,3.0
3116271,1,가구,일반소파,341,93,244,216,432814000,0,0,0,216,24,0.21428571428571427,,0.1111111111111111,0.48131551160215297,,0.48131551160215297,4.0,0.4869208581215071,4.0,0.48505240928172244,4.0
3955208,1,가구,일반소파,104,22,83,66,110123000,0,0,0,66,14,0.1746031746031746,,0.21212121212121213,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3736091,1,가구,일반소파,106,39,73,62,134620000,0,0,0,62,9,0.2689655172413793,,0.14516129032258066,0.6561623794652982,,0.6561623794652982,2.0,0.6093136656257087,2.0,0.6249299035722385,2.0
3920046,1,생활용품,수건/타월,3399,57,2615,2526,143483600,3335,3292,16,2526,83,0.016493055555555556,0.9951632406287787,0.03285827395091053,0.0,0.9865969265132258,0.0,26.0,0.2959790779539677,25.0,0.19731938530264517,26.0
3764909,1,패브릭,커튼,1115,79,859,815,47924680,1023,993,24,815,40,0.0661641541038526,0.976401179941003,0.049079754601226995,0.06795994479429662,0.803923562975505,0.06795994479429662,25.0,0.28874903024865917,23.0,0.21515266843053832,23.0
3640346,1,패브릭,패드/스프레드,3186,158,2690,2546,132742800,3016,2915,95,2546,123,0.04724880382775119,0.96843853820598,0.04831107619795758,0.20605025947106517,0.8493858014578477,0.20605025947106517,25.0,0.3990509220670999,24.0,0.33471736786842166,24.0
3640185,1,패브릭,패드/스프레드,566,30,497,465,28529200,530,518,12,465,26,0.050335570469798654,0.9773584905660377,0.05591397849462366,0.2809567230573958,0.8925294156944413,0.2809567230573958,18.0,0.46442853084850944,17.0,0.40327126158480486,18.0
4037734,1,패브릭,패드/스프레드,152,0,150,146,6444100,150,146,1,146,4,0.0,0.9931972789115646,0.0273972602739726,0.0,0.969137736767363,0.0,29.0,0.2907413210302089,27.0,0.19382754735347263,29.0
3508395,1,패브릭,패드/스프레드,175,9,149,132,19263700,165,151,14,132,10,0.04891304347826087,0.9151515151515152,0.07575757575757576,0.47646281241631516,0.5916495856487948,0.47646281241631516,9.0,0.511018844386059,12.0,0.4995001670628111,9.0
204504,0,가구,깔판,3272,179,3159,3081,181146400,3084,2965,79,3081,65,0.05186902347145755,0.9740473061760841,0.02109704641350211,0.02666166806333522,0.5655398309558961,0.02666166806333522,6.0,0.1883251169311035,5.0,0.1344373006418474,6.0
706937,0,가구,깔판,935,20,910,883,76139800,916,913,3,883,21,0.020942408376963352,0.9967248908296943,0.02378255945639864,0.08194861515028348,1.0,0.08194861515028348,5.0,0.35736403060519845,3.0,0.2655588921202268,3.0
1651054,0,가구,깔판,711,38,639,620,129691500,667,630,37,620,18,0.050734312416555405,0.9445277361319341,0.02903225806451613,0.19002472743621446,0.0,0.19002472743621446,3.0,0.1330173092053501,7.0,0.1520197819489716,5.0
315779,0,가구,깔판,313,35,300,292,17319600,275,259,6,292,7,0.10057471264367816,0.9773584905660377,0.023972602739726026,0.08586105675146767,0.62897593986119,0.08586105675146767,4.0,0.24879552168438437,4.0,0.19448403337341214,4.0
550837,0,가구,깔판,270,12,261,248,23581890,258,254,4,248,12,0.0425531914893617,0.9844961240310077,0.04838709677419355,0.5884848825446779,0.7657196667233032,0.5884848825446779,2.0,0.6416553177982655,2.0,0.623931839380403,2.0
2744564,0,가구,깔판,210,24,206,202,23147000,186,179,5,202,4,0.10256410256410256,0.9728260869565217,0.019801980198019802,0.0,0.542143551472202,0.0,7.0,0.16264306544166057,6.0,0.1084287102944404,7.0
3104914,1,가구,일반의자/인테리어의자,1037,177,1009,872,256860000,0,0,0,872,122,0.1457990115321252,,0.13990825688073394,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3104886,1,가구,일반의자/인테리어의자,130,15,124,117,28800000,0,0,0,117,6,0.10344827586206896,,0.05128205128205128,0.25292957419654255,,0.25292957419654255,16.0,0.3270507019375798,18.0,0.30234365935723406,17.0
3247330,1,가구,일반의자/인테리어의자,112,19,108,93,46170000,0,0,0,93,11,0.1450381679389313,,0.11827956989247312,0.8176820017427229,,0.8176820017427229,2.0,0.722377401219906,2.0,0.7541456013941783,2.0
2281970,1,가구,책상서랍장,738,65,734,700,100913000,0,0,0,700,30,0.08094645080946451,,0.04285714285714286,0.8193768257059396,,0.8193768257059396,6.0,0.7235637779941577,8.0,0.7555014605647518,5.0
1243313,1,가구,수납침대,19915,2007,13238,12303,4749968700,0,0,0,12303,805,0.09155186570568379,,0.06543119564333902,0.374156113526583,,0.374156113526583,6.0,0.4119092794686081,8.0,0.39932489082126643,6.0
3652507,1,가구,수납침대,719,99,456,433,201086820,0,0,0,433,21,0.12102689486552567,,0.04849884526558892,0.22288411829631277,,0.22288411829631277,13.0,0.30601888280741896,16.0,0.27830729463705023,14.0
3748221,1,가구,수납침대,759,162,357,310,430678200,0,0,0,310,42,0.1758957654723127,,0.13548387096774195,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3858646,1,가구,수납침대,508,68,355,324,177652360,0,0,0,324,27,0.11805555555555555,,0.08333333333333333,0.5340920956458179,,0.5340920956458179,4.0,0.5238644669520726,4.0,0.5272736765166544,4.0
3898593,1,가구,수납침대,312,67,141,121,186374900,0,0,0,121,15,0.17678100263852242,,0.12396694214876033,0.8971088618824197,,0.8971088618824197,2.0,0.7779762033176938,2.0,0.8176870895059357,2.0
2197502,0,가구,책상서랍장,2004,161,1999,1922,211887900,0,0,0,1922,55,0.07436489607390301,,0.02861602497398543,0.4830396161090717,,0.4830396161090717,12.0,0.4881277312763501,15.0,0.4864316928872574,13.0
1262292,0,가구,책상서랍장,882,23,877,834,152391000,848,819,28,834,31,0.02541436464088398,0.9669421487603306,0.03717026378896882,0.6850679145096775,0.9754101728340957,0.6850679145096775,8.0,0.772170592007003,6.0,0.7431363661745612,7.0
3270662,0,가구,책상서랍장,865,59,865,840,68379300,0,0,0,840,22,0.06385281385281386,,0.02619047619047619,0.42575462512171375,,0.42575462512171375,13.0,0.4480282375851996,17.0,0.44060370009737104,15.0
2324251,0,가구,책상서랍장,824,94,813,794,59718600,728,240,487,794,13,0.10239651416122005,0.33012379642365886,0.0163727959697733,0.19388721153539568,0.1984543682262891,0.19388721153539568,20.0,0.19525735854266368,21.0,0.19480064287357435,20.0
851378,0,가구,책상서랍장,606,54,605,572,85598000,549,383,164,572,28,0.08181818181818182,0.70018281535649,0.04895104895104895,0.9632986293161562,0.6499481132673054,0.9632986293161562,2.0,0.8692934745015009,2.0,0.900628526106386,2.0
974758,0,가구,책상서랍장,501,14,448,437,24739658,484,474,9,437,10,0.027184466019417475,0.9813664596273292,0.02288329519450801,0.34764783343991407,0.9930086795581248,0.34764783343991407,15.0,0.5412560872753773,13.0,0.4767200026635562,14.0
1343798,0,가구,책상서랍장,403,19,403,394,64748000,383,264,115,394,7,0.045023696682464455,0.6965699208443272,0.017766497461928935,0.22680272243338492,0.6455401696953895,0.22680272243338492,19.0,0.3524239566119863,18.0,0.31055021188578585,18.0
