product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,cancel_rate,delivery_ontime,rebuy_rate
505181,0,가구,일반침대,189000.0,323,27,287,275,60090900,297.0,108.0,166.0,275,12,,,,,,,0.07714285714285714,0.39416058394160586,0.04363636363636364
2276696,0,가구,수납침대,219000.0,447,21,378,371,105858000,430.0,307.0,87.0,371,5,,,,,,,0.04487179487179487,0.7791878172588832,0.013477088948787063
1841551,0,가구,수납침대,359000.0,669,95,350,326,236888800,,,,326,23,,,,,,,0.1243455497382199,,0.0705521472392638
2254548,0,가구,일반침대,395000.0,466,29,261,258,145102000,439.0,101.0,268.0,258,3,,,,,,,0.05858585858585859,0.27371273712737126,0.011627906976744186
2896723,0,가구,식탁/테이블,399000.0,602,133,507,474,240422000,,,,474,28,,,,,,,0.18095238095238095,,0.05907172995780591
1174172,0,가구,식탁/테이블,198000.0,558,24,315,311,108359800,533.0,513.0,0.0,311,4,,,,,,,0.041237113402061855,1.0,0.012861736334405145
3417592,0,가구,일반소파,289000.0,672,60,669,653,184568000,613.0,346.0,204.0,653,16,,,,,,,0.08196721311475409,0.6290909090909091,0.02450229709035222
3314140,0,가구,일반소파,499000.0,255,52,230,211,117245000,,,,211,15,,,,,,,0.16938110749185667,,0.07109004739336493
1656481,0,가구,일반소파,469000.0,388,23,388,385,181972000,365.0,195.0,104.0,385,3,,,,,,,0.05596107055961071,0.6521739130434783,0.007792207792207792
3820890,0,가구,식탁/테이블,199000.0,1327,347,1185,1133,519145000,1002.0,45.0,725.0,1133,47,,,,,,,0.2072879330943847,0.05844155844155844,0.04148278905560459
1106436,0,가구,일반소파,579000.0,338,51,338,312,202411000,,,,312,21,,,,,,,0.13110539845758354,,0.0673076923076923
1754049,0,가구,식탁/테이블,128000.0,423,16,264,261,55287600,407.0,304.0,27.0,261,3,,,,,,,0.03644646924829157,0.918429003021148,0.011494252873563218
624414,0,가구,식탁/테이블,137900.0,483,105,332,321,69459200,377.0,220.0,113.0,321,8,,,,,,,0.17857142857142858,0.6606606606606606,0.024922118380062305
3326382,0,가구,일반소파,419000.0,1440,50,971,955,460557000,1390.0,774.0,544.0,955,15,,,,,,,0.03355704697986577,0.5872534142640364,0.015706806282722512
549100,0,가구,식탁/테이블,105900.0,410,129,375,369,43711900,286.0,165.0,91.0,369,5,,,,,,,0.23933209647495363,0.64453125,0.013550135501355014
2968752,0,패브릭,매트,22000.0,284,7,268,266,6222000,278.0,276.0,0.0,266,2,,,,,,,0.024054982817869417,1.0,0.007518796992481203
334184,0,가구,일반침대,199000.0,1809,203,1206,1159,331189000,1615.0,1195.0,260.0,1159,46,,,,,,,0.10089463220675944,0.8213058419243986,0.03968938740293356
3182446,0,가구,일반침대,199000.0,1088,206,687,657,270121200,,,,657,27,,,,,,,0.15919629057187018,,0.0410958904109589
673573,0,가구,수납침대,289000.0,1971,180,1121,1079,584723900,1797.0,364.0,1162.0,1079,38,,,,,,,0.08368200836820083,0.23853211009174313,0.03521779425393883
3665478,0,가구,입식화장대,179000.0,304,42,203,197,37523900,264.0,68.0,143.0,197,5,,,,,,,0.12138728323699421,0.3222748815165877,0.025380710659898477
350951,0,패브릭,이불/이불커버,89900.0,396,22,290,279,51577100,373.0,351.0,21.0,279,9,,,,,,,0.05263157894736842,0.9435483870967742,0.03225806451612903
3944145,0,패브릭,이불/이불커버,55900.0,653,27,510,500,46763200,626.0,550.0,63.0,500,9,,,,,,,0.039705882352941174,0.8972267536704731,0.018
