product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,sell_cnt_28_day,view_cnt_28_day,conversion_rate,review_cnt,scrap_cnt,card_tag_cnt,user_card_cnt,popularity,long_term_ranking_popularity,cancel_rate,delivery_ontime,rebuy_rate,ugc_per_buyer,review_per_buyer,scrap_per_view,conversion_rate_pop,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm,ugc_per_buyer_norm,review_per_buyer_norm,conversion_rate_pop_norm,scrap_per_view_norm,review_score_norm,sales_score_norm,spv_score_norm,wish_score_norm,card_score_norm
2104810,0,패브릭,담요,15000.0,197,1,197,197,3300000,195,193,1,197,0,0.6438568297962269,0.5474896932768997,0.0234882142083294,0.8971761664543201,0.7979503590045457,89.0,78.0,2402.0,0.0,408.0,8489.0,1328.0,497.0,39611.0,0.0,0.005050505050505051,0.9948453608247423,0.0,2.5228426395939088,2.0710659898477157,3.5341382181515404,0.0,0.0,0.9803330689928629,1.0,0.08557376585358753,0.04337779703555848,0.0,0.0852606761321384,0.4984044649522218,0.13403585967807907,0.32071040279749957,0.6738268084506207,0.6641443379094953
3879239,0,패브릭,담요,26400.0,195,5,195,189,5359200,190,188,1,189,3,0.2899793851437502,0.5588845933349953,0.0131881654480383,0.8776188039384083,0.3984033506006309,89.0,50.0,2689.0,0.0,36.0,2773.0,36.0,25.0,31435.0,0.0,0.025,0.9947089947089947,0.015873015873015872,0.13227513227513227,0.19047619047619047,1.0312383785793975,0.0,0.3439153439153439,0.9798127798127796,0.8410567164179105,0.0,0.0,0.0,0.015148629350120736,0.0,0.2038410609584865,0.046869413708949946,0.6117878129168741,0.0
2343094,0,패브릭,담요,14900.0,198,11,192,187,6530000,187,183,1,187,4,0.6684505026639782,0.5525057645710019,0.0174699103890322,0.873938886301938,0.7262958961277963,89.0,87.0,3471.0,0.0277777777777777,487.0,9527.0,714.0,273.0,106892.0,0.0,0.05263157894736842,0.9945652173913043,0.0213903743315508,1.4598930481283423,2.6042780748663104,2.744742149236531,0.0277777777777777,0.463458110516934,0.9792642140468226,0.6209080911233307,0.04752397258242368,0.05567689894952889,0.6777777777777767,0.06314785593923324,0.5330424351085257,0.16476433158537865,0.16070550293087374,0.6001145418596036,0.5450371870497145
2837785,0,패브릭,담요,20500.0,189,11,189,185,4018000,177,176,1,185,4,0.4007922860254568,0.525609873475258,0.0207812120007051,0.8414197514004551,0.6761562718349438,88.0,64.0,2933.0,0.0,62.0,2617.0,390.0,74.0,34774.0,0.0,0.055,0.9943502824858758,0.021621621621621623,0.4,0.33513513513513515,0.8922604841459256,0.0,0.46846846846846846,0.9784441547153414,0.6020382089552239,0.009583592629670718,0.003336711888414384,0.0,0.011255535234995628,0.15606997679094387,0.0,0.24874101903510898,0.49695878845609603,0.4616929324849463
3794617,0,패브릭,담요,19900.0,189,6,189,185,3800900,182,172,10,185,4,0.3748686224753466,0.5471867272454313,0.0366838274461811,0.7766248390673508,0.4911117938022416,89.0,77.0,1840.0,0.0,54.0,1007.0,49.0,35.0,60621.0,0.0,0.03076923076923077,0.945054945054945,0.021621621621621623,0.1891891891891892,0.2918918918918919,0.5472826086956522,0.0,0.46846846846846846,0.7903634826711748,0.7950916188289323,0.002037319659549699,0.0023392606477495863,0.0,0.00159190245196533,0.11955883470902176,0.1321798886120799,0.671533963421221,0.291419249391334,0.15410398860128346
3328525,0,패브릭,담요,38000.0,193,6,169,164,10764700,187,165,1,164,5,0.616066078221403,0.5791872365233847,0.0178983523339354,0.9054474770422448,0.5904976553958927,89.0,81.0,3663.0,0.040983606557377,277.0,6536.0,173.0,118.0,217425.0,0.0,0.03015075376884422,0.9939759036144579,0.03048780487804878,0.7195121951219512,1.6890243902439024,1.7843297843297843,0.040983606557377,0.6605691056910569,0.9770157553290085,0.8000192004800121,0.021020986340169957,0.034565602599380775,1.0,0.03624447147544228,0.4592636977782287,0.3282151306795216,0.1720962224012152,0.7000646920202995,0.319307471188624
1719099,0,패브릭,담요,19900.0,158,3,158,156,3164100,154,154,0,156,2,0.6715920214270006,0.5564537438782013,0.0414380361816516,0.9147307367339392,0.5605037951177785,89.0,41.0,1053.0,0.0,509.0,14261.0,421.0,316.0,24322.0,0.0,0.018633540372670808,1.0,0.01282051282051282,2.0256410256410255,3.2628205128205128,13.54320987654321,0.0,0.27777777777777773,1.0,0.8917801056827663,0.06777572653272754,0.07086687829666019,0.0,0.365638056506131,0.537466980955914,0.18894966790117615,0.797931153643636,0.7295126355291991,0.26945037788855336
3133273,0,패브릭,담요,19800.0,173,7,154,146,5702400,165,162,0,146,6,0.6840028975044284,0.5849067674961245,0.0275911137231218,0.9509064219685732,0.8120634722920272,89.0,44.0,1821.0,0.0,521.0,6189.0,489.0,282.0,68346.0,0.0,0.03888888888888889,1.0,0.0410958904109589,1.9315068493150684,3.5684931506849313,3.3986820428336078,0.0,0.8904109589041095,1.0,0.7303999999999999,0.0644060597322394,0.07791754168377293,0.0,0.08146623356170475,0.5549465805868917,0.36325299926512394,0.42979163992650987,0.8442675352696793,0.6876037659192291
1610274,0,패브릭,담요,8500.0,183,1,151,148,3069400,182,181,0,148,3,0.4266371349726658,0.5455337546735274,0.0365457283312778,0.6847569444403175,0.5480651173487202,89.0,50.0,1366.0,0.0,64.0,921.0,52.0,39.0,39401.0,0.0,0.005434782608695652,1.0,0.02027027027027027,0.2635135135135135,0.43243243243243246,0.6742313323572474,0.0,0.4391891891891892,1.0,0.9969383517196626,0.004697864616964159,0.00558097717991018,0.0,0.005148031511368967,0.19247011561288713,0.12205377232282238,0.6678624081599327,0.0,0.2487742691012505
458599,0,패브릭,담요,8900.0,152,3,148,147,2683500,148,146,0,147,1,0.95644042838079,0.5446860238797918,0.0403599018011338,0.8389702690452142,0.6729545797049648,89.0,40.0,755.0,0.0,6401.0,11549.0,4386.0,4126.0,39934.0,0.0,0.01935483870967742,1.0,0.006802721088435374,28.068027210884352,43.54421768707483,15.296688741721855,0.0,0.1473922902494331,1.0,0.886033317284545,1.0,1.0,0.0,0.414757078483335,0.9386502719670625,0.11686057024236458,0.7692674655386273,0.4891886494727263,0.45637094119198357
