product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3676050,0,가구,독립스프링매트리스,179000.0,314,24,240,232,64425000,291,287,0,232,8,0.07100591715976332,1.0,0.034482758620689655,0.22811671087533159,1.0,0.6162071108943737
2689942,0,가구,독립스프링매트리스,210900.0,218,13,189,180,54876000,205,174,31,180,9,0.05627705627705628,0.848780487804878,0.05,0.37454751131221725,0.7765562431743721,0.7197151851823935
1270811,0,가구,독립스프링매트리스,185000.0,240,4,186,179,49158000,236,233,1,179,6,0.01639344262295082,0.9957264957264957,0.0335195530726257,0.2190272757147552,0.9936854190585535,1.0
3711140,0,가구,독립스프링매트리스,329000.0,244,26,175,164,94583400,0,0,0,164,9,0.0962962962962963,,0.054878048780487805,0.4205799580620241,,0.43847724683476286
3919122,0,가구,독립스프링매트리스,259000.0,192,13,147,138,51050900,179,138,41,138,7,0.06341463414634146,0.770949720670391,0.050724637681159424,0.38138566463374657,0.6615525723338614,0.669555369958807
29359,0,가구,독립스프링매트리스,439700.0,144,16,144,136,61504100,130,50,78,136,7,0.1,0.390625,0.051470588235294115,0.38842494011179135,0.09958022388059698,0.4124492164828787
2646351,0,가구,독립스프링매트리스,669000.0,175,13,138,131,113755130,162,103,57,131,7,0.06914893617021277,0.64375,0.05343511450381679,0.4069634900348866,0.4736007462686568,0.629257171435275
145632,0,가구,독립스프링매트리스,216000.0,129,11,127,124,34344000,0,0,0,124,3,0.07857142857142857,,0.024193548387096774,0.13102101882936798,,0.5630399635187796
1244547,0,가구,독립스프링매트리스,368000.0,163,14,100,94,51936600,149,99,47,94,5,0.07909604519774012,0.678082191780822,0.05319148936170213,0.40466448445171854,0.5243304027806176,0.5593531844011398
853658,0,가구,독립스프링매트리스,259000.0,140,9,98,97,31732400,0,0,0,97,1,0.06040268456375839,,0.010309278350515464,0.0,,0.6907220510503376
1074923,0,가구,독립스프링매트리스,189900.0,135,9,94,91,23693300,126,96,19,91,3,0.0625,0.8347826086956521,0.03296703296703297,0.21381333598528174,0.755872809863725,0.6759830237957052
